end_station,averageDuration
2nd at Folsom,557.050760233918
2nd at South Park,531.589903573454
2nd at Townsend,633.257044057377
5th S at E. San Salvador St,1767.0
5th St at E. San Salvador St,686.0
5th St at Folsom St,527.298013245033
5th at Howard,583.572311104071
Adobe on Almaden,828.990789473684
Arena Green / SAP Center,1426.47592592593
Beale at Market,699.791838134431
Broadway St at Battery St,756.494616846105
California Ave Caltrain Station,1825.5910543131
Castro Street and El Camino Real,802.502173913044
Charleston Park/ North Bayshore Area,2370.22615803815
Civic Center BART (7th at Market),1033.10343347639
Clay at Battery,856.799765258216
Commercial at Montgomery,564.716529250098
Cowper at University,1210.07079646018
Cyril Magnin St at Ellis St,2926.22058823529
Davis at Jackson,735.510463121784
Embarcadero at Bryant,697.743581616482
Embarcadero at Folsom,613.881648422408
Embarcadero at Sansome,1400.38250762937
Embarcadero at Vallejo,1372.67024684379
Evelyn Park and Ride,739.013157894737
Franklin at Maple,2068.6
Golden Gate at Polk,1277.80007601672
Grant Avenue at Columbus Avenue,1478.68141836174
Harry Bridges Plaza (Ferry Building),918.877354048964
Howard at 2nd,592.663818038391
Japantown,969.828918322296
Kaiser Hospital,670.296296296296
MLK Library,1012.9728
Market at 10th,1044.92866020383
Market at 4th,1022.00102234555
Market at Sansome,612.926951946142
Mechanics Plaza (Market at Battery),731.368790591539
Mezes,644.850877192982
Mezes Park,257.0
Middlefield Light Rail Station,1199.87096774194
Mountain View Caltrain Station,996.882961783439
Mountain View City Hall,651.160204828091
Palo Alto Caltrain Station,1927.44844357977
Park at Olive,1405.99264705882
Paseo de San Antonio,724.440170940171
Post at Kearny,744.221122112211
Powell Street BART,991.009053738318
Powell at Post (Union Square),1631.98155673648
Redwood City Caltrain Station,1147.66666666667
Redwood City Medical Center,359.083333333333
Redwood City Public Library,1186.70149253731
Rengstorff Avenue / California Street,1658.5
Ryland Park,1223.40402969247
S. Market St at Park Ave,1585.74757281553
SJSU - San Salvador at 9th,1227.61968680089
SJSU 4th at San Carlos,967.132432432432
San Antonio Caltrain Station,1083.68190127971
San Antonio Shopping Center,724.399671052632
San Francisco Caltrain (Townsend at 4th),723.110629443385
San Francisco Caltrain 2 (330 Townsend),609.492032547889
San Francisco City Hall,1361.31942215088
San Jose City Hall,1147.76053215078
San Jose Civic Center,2372.58423493045
San Jose Diridon Caltrain Station,599.522307692308
San Mateo County Center,1008.02884615385
San Pedro Square,816.377488514548
San Salvador at 1st,1084.99333333333
Santa Clara County Civic Center,1604.77399380805
Santa Clara at Almaden,726.675843083276
Sequoia Hospital,1633.5
South Van Ness at Market,1366.03096774194
Spear at Folsom,608.985535197686
St James Park,578.417298937784
Stanford in Redwood City,1071.65904365904
Steuart at Market,668.527482330337
Temporary Transbay Terminal (Howard at Beale),582.835282729693
Townsend at 7th,666.20582801478
University and Emerson,4710.89772727273
Washington at Kearny,1061.88506107109
Yerba Buena Center of the Arts (3rd @ Howard),757.095514112903
