trip_date,max(duration)
2015-09-02,25917
2015-09-13,21695
2015-09-16,50241
2015-09-30,25667
2015-10-01,51081
2015-10-15,27467
2015-10-16,19073
2015-10-19,41555
2015-10-27,11107
2015-11-01,43899
2015-11-02,12246
2015-11-08,7874
2015-11-09,12838
2015-11-10,61234
2015-11-12,37799
2015-11-15,84349
2015-11-24,22478
2015-11-25,3617
2015-11-30,58759
2015-12-03,16722
2015-12-06,39450
2015-12-10,8540
2015-12-11,19186
2015-12-13,57019
2015-12-18,27880
2015-12-19,33629
2015-12-20,13739
2015-12-21,18927
2015-12-22,3999
2015-12-24,8472
2015-12-27,30361
2015-12-28,7034
2015-12-30,12416
2016-01-03,61900
2016-01-04,25318
2016-01-05,5452
2016-01-06,6401
2016-01-07,28640
2016-01-08,25855
2016-01-09,11347
2016-01-10,14749
2016-01-11,26442
2016-01-13,7866
2016-01-14,76700
2016-01-15,11580
2016-01-16,14961
2016-01-17,15935
2016-01-18,38626
2016-01-19,64444
2016-01-22,62168
2016-01-23,25977
2016-01-28,44070
2016-01-29,51243
2016-01-30,14082
2016-01-31,18996
2016-02-01,50928
2016-02-02,18517
2016-02-03,9438
2016-02-17,31017
2016-02-18,9928
2016-02-19,13743
2016-03-03,29319
2016-03-04,26338
2016-03-05,1878
2016-03-06,24693
2016-03-07,41493
2016-03-08,21212
2016-03-09,7375
2016-03-10,12285
2016-03-11,24845
2016-03-12,46320
2016-03-13,3769
2016-03-14,41092
2016-03-20,36895
2016-03-21,27357
2016-03-22,67375
2016-03-28,30027
2016-04-08,78123
2016-04-09,6220
2016-04-10,43422
2016-04-14,50495
2016-04-21,14883
2016-04-22,85900
2016-04-27,6565
2016-05-06,59642
2016-05-07,82896
2016-05-08,18632
2016-05-09,28055
2016-05-21,83915
2016-06-14,25396
2016-06-17,81687
2016-07-18,52051
