,Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Population,Area(sq.mi.)
0,48.0,0.0,23.06,163.07,700.0,36.0,3.2,12.13,0.22000000000000003,87.65,1.0,46.6,20.34,0.38000000000000006,0.24000000000000005,0.38000000000000006,31056997,647500
1,124.6,1.26,-4.93,21.52,4500.0,86.5,71.2,21.09,4.42,74.49,3.0,15.11,5.22,0.23200000000000007,0.18800000000000006,0.5790000000000002,3581655,28748
2,13.8,0.04000000000000001,-0.39000000000000007,31.0,6000.0,70.0,78.1,3.22,0.25000000000000006,96.53,1.0,17.14,4.61,0.10100000000000002,0.6000000000000001,0.2980000000000001,32930091,2381740
6,132.1,59.8,10.76,21.03,8600.0,95.0,460.0,0.0,0.0,100.0,2.0,14.17,5.34,0.04000000000000001,0.18000000000000005,0.7800000000000001,13477,102
7,156.0,34.54,-6.15,19.46,11000.0,89.0,549.9,18.18,4.55,77.27,2.0,16.93,5.37,0.038000000000000006,0.22000000000000003,0.7430000000000002,69108,443
8,14.4,0.18000000000000005,0.6100000000000001,15.18,11200.0,97.1,220.4,12.31,0.4800000000000001,87.21,3.0,16.73,7.55,0.09500000000000003,0.3580000000000001,0.5470000000000002,39921833,2766890
9,99.9,0.0,-6.47,23.28,3500.0,98.6,195.7,17.55,2.3,80.15,4.0,12.07,8.23,0.23900000000000005,0.3430000000000001,0.4180000000000001,2976372,29800
10,372.5,35.49,0.0,5.890000000000001,28000.0,97.0,516.1,10.53,0.0,89.47,2.0,11.03,6.68,0.004000000000000001,0.3330000000000001,0.6630000000000001,71891,193
11,2.6,0.3400000000000001,3.9800000000000004,4.69,29000.0,100.0,565.5,6.55,0.04000000000000001,93.41,1.0,12.14,7.51,0.038000000000000006,0.26200000000000007,0.7000000000000001,20264082,7686850
12,97.7,0.0,2.0,4.66,30000.0,98.0,452.2,16.91,0.8600000000000002,82.23,3.0,8.74,9.76,0.018000000000000006,0.30400000000000005,0.6780000000000002,8192880,83870
13,91.9,0.0,-4.9,81.74,3400.0,97.0,137.1,19.63,2.71,77.66,1.0,20.74,9.75,0.14100000000000004,0.45700000000000013,0.4020000000000001,7961619,86600
14,21.8,25.41,-2.2,25.21,16700.0,95.6,460.6,0.8,0.4,98.8,2.0,17.57,9.05,0.030000000000000006,0.07,0.9,303770,13940
15,1050.5,24.21,1.05,17.27,16900.0,89.1,281.3,2.8200000000000003,5.63,91.55,1.0,17.8,4.14,0.005000000000000001,0.38700000000000007,0.6080000000000001,698585,665
16,1023.4,0.4000000000000001,-0.7100000000000002,62.6,1900.0,43.1,7.3,62.11,3.07,34.82,2.0,29.8,8.27,0.19900000000000004,0.19800000000000004,0.6030000000000001,147365352,144000
17,649.5,22.51,-0.31000000000000005,12.5,15700.0,97.4,481.9,37.21,2.33,60.46,2.0,12.71,8.67,0.06000000000000001,0.16000000000000003,0.7800000000000001,279912,431
18,49.6,0.0,2.54,13.37,6100.0,99.6,319.1,29.55,0.6000000000000001,69.85,4.0,11.16,14.02,0.09300000000000003,0.31600000000000006,0.5910000000000002,10293011,207600
19,340.0,0.22000000000000003,1.23,4.68,29100.0,98.0,462.6,23.28,0.4,76.32,3.0,10.38,10.27,0.010000000000000002,0.24000000000000005,0.7490000000000002,10379067,30528
20,12.5,1.6800000000000002,0.0,25.69,4900.0,94.1,115.7,2.85,1.7100000000000002,95.44,2.0,28.84,5.720000000000001,0.14200000000000004,0.15200000000000002,0.6120000000000001,287730,22966
21,69.8,0.11000000000000001,0.0,85.0,1100.0,40.9,9.7,18.08,2.4,79.52,2.0,38.85,12.22,0.31600000000000006,0.13800000000000004,0.5460000000000002,7862944,112620
22,1241.0,194.34,2.49,8.53,36000.0,98.0,851.4,20.0,0.0,80.0,2.0,11.4,7.74,0.010000000000000002,0.1,0.8900000000000001,65773,53
23,48.5,0.0,0.0,100.44,1300.0,42.2,14.3,3.09,0.4300000000000001,96.48,2.0,33.65,12.7,0.25800000000000006,0.3790000000000001,0.3630000000000001,2279723,47000
24,8.2,0.0,-1.32,53.11,2400.0,87.2,71.9,2.67,0.19000000000000003,97.14,1.5,23.3,7.53,0.12800000000000003,0.3520000000000001,0.5200000000000001,8989046,1098580
26,2.7,0.0,0.0,54.58,9000.0,79.8,80.5,0.6500000000000001,0.010000000000000002,99.34,1.0,23.08,29.5,0.024000000000000007,0.46900000000000014,0.5070000000000001,1639833,600370
27,22.1,0.09000000000000002,-0.030000000000000006,29.61,7600.0,86.4,225.3,6.96,0.9,92.15,2.0,16.56,6.17,0.08400000000000002,0.4,0.5160000000000001,188078227,8511965
28,151.0,52.29,10.01,18.05,16000.0,97.8,506.5,20.0,6.67,73.33,2.0,14.89,4.42,0.018000000000000006,0.06200000000000001,0.9200000000000002,23098,153
29,65.8,2.79,3.59,12.61,18600.0,93.9,237.2,0.5700000000000001,0.7600000000000001,98.67,2.0,18.79,3.45,0.03600000000000001,0.5610000000000002,0.4030000000000001,379444,5770
30,66.6,0.32000000000000006,-4.58,20.55,7600.0,98.6,336.3,40.02,1.9200000000000002,58.06,3.0,9.65,14.27,0.09300000000000003,0.30400000000000005,0.6030000000000001,7385367,110910
31,50.7,0.0,0.0,97.57,1100.0,26.6,7.0,14.43,0.19000000000000003,85.38,2.0,45.62,15.6,0.32200000000000006,0.19600000000000004,0.4820000000000001,13902972,274200
32,69.8,0.28,-1.8,67.24,1800.0,85.3,10.1,15.19,0.9700000000000002,83.84,2.0,17.91,9.83,0.5640000000000002,0.08200000000000002,0.3530000000000001,47382633,678500
33,290.7,0.0,-0.06000000000000001,69.29,600.0,51.6,3.4,35.05,14.02,50.93,2.0,42.22,13.46,0.46300000000000013,0.20300000000000004,0.3340000000000001,8090068,27830
34,76.7,0.24000000000000005,0.0,71.48,1900.0,69.4,2.6,20.96,0.6100000000000001,78.43,2.0,26.9,9.06,0.3500000000000001,0.30000000000000004,0.3500000000000001,13881427,181040
35,36.5,0.08000000000000002,0.0,68.26,1800.0,79.0,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.4480000000000001,0.17000000000000004,0.3820000000000001,17340702,475440
37,104.4,23.93,-12.07,47.77,1400.0,76.6,169.6,9.68,0.5,89.82,3.0,24.87,6.55,0.12100000000000002,0.21900000000000006,0.6600000000000001,420979,4033
38,173.4,61.07,18.75,8.19,35000.0,98.0,836.3,3.85,0.0,96.15,2.0,12.74,4.890000000000001,0.014000000000000004,0.03200000000000001,0.9540000000000002,45436,262
39,6.9,0.0,0.0,91.0,1100.0,51.0,2.3,3.1,0.14,96.76,2.0,33.91,18.65,0.5500000000000002,0.2,0.25000000000000006,4303356,622984
40,7.7,0.0,-0.11000000000000001,93.82,1200.0,47.5,1.3,2.8600000000000003,0.020000000000000004,97.12,2.0,45.73,16.38,0.3350000000000001,0.25900000000000006,0.4060000000000001,9944201,1284000
41,21.3,0.8500000000000002,0.0,8.8,9900.0,96.2,213.0,2.6500000000000004,0.4200000000000001,96.93,3.0,15.23,5.8100000000000005,0.06000000000000001,0.4930000000000001,0.4470000000000001,16134219,756950
42,136.9,0.15000000000000002,-0.4,24.18,5000.0,90.9,266.7,15.4,1.25,83.35,1.5,13.25,6.970000000000001,0.12500000000000003,0.4730000000000001,0.4030000000000001,1313973713,9596960
43,38.3,0.28,-0.31000000000000005,20.97,6300.0,92.5,176.2,2.42,1.6700000000000002,95.91,2.0,20.48,5.58,0.12500000000000003,0.3420000000000001,0.5330000000000001,43593035,1138910
44,318.4,15.67,0.0,74.93,700.0,56.5,24.5,35.87,23.32,40.81,2.0,36.93,8.2,0.4,0.04000000000000001,0.56,690948,2170
45,26.7,0.0,0.0,94.69,700.0,65.5,0.2,2.96,0.5200000000000001,96.52,2.0,43.69,13.27,0.5500000000000002,0.11000000000000001,0.3400000000000001,62660551,2345410
46,10.8,0.05000000000000001,-0.17000000000000004,93.86,700.0,83.8,3.7,0.5100000000000001,0.13000000000000003,99.36,2.0,42.57,12.93,0.06200000000000001,0.5700000000000001,0.3690000000000001,3702314,342000
48,79.8,2.52,0.5100000000000001,9.95,9100.0,96.0,340.7,4.41,5.88,89.71,2.0,18.32,4.36,0.08800000000000002,0.29900000000000004,0.6140000000000001,4075261,51100
49,54.8,0.16000000000000003,-0.07,90.83,1400.0,50.9,14.6,9.75,13.84,76.41,2.0,35.11,14.84,0.2790000000000001,0.17100000000000004,0.5500000000000002,17654843,322460
51,102.7,3.37,-1.58,6.33,2900.0,97.0,74.7,33.05,7.6,59.35,2.0,11.89,7.22,0.055000000000000014,0.26100000000000007,0.6840000000000002,11382820,110860
53,129.8,0.0,0.9700000000000002,3.93,15700.0,99.9,314.3,39.8,3.05,57.15,3.0,9.02,10.59,0.03400000000000001,0.39300000000000007,0.5730000000000002,10235455,78866
54,126.5,16.97,2.48,4.5600000000000005,31100.0,100.0,614.6,54.02,0.19000000000000003,45.79,3.0,11.13,10.36,0.018000000000000006,0.24600000000000005,0.7350000000000002,5450661,43094
55,21.2,1.37,0.0,104.13,1300.0,67.9,22.8,0.04000000000000001,0.0,99.96,1.0,39.53,19.31,0.17900000000000005,0.22500000000000006,0.5960000000000002,486530,23000
56,91.4,19.63,-13.870000000000001,14.15,5400.0,94.0,304.8,6.67,20.0,73.33,2.0,15.27,6.73,0.17700000000000005,0.32800000000000007,0.4950000000000001,68910,754
57,188.5,2.64,-3.22,32.38,6000.0,84.7,97.4,22.65,10.33,67.02,2.0,23.22,5.73,0.11200000000000003,0.30600000000000005,0.5820000000000002,9183984,48730
59,47.8,0.7900000000000001,-8.58,23.66,3300.0,92.5,125.6,5.8500000000000005,4.93,89.22,2.0,22.29,4.23,0.07,0.31200000000000006,0.6180000000000001,13547510,283560
60,78.8,0.24000000000000005,-0.22000000000000003,32.59,4000.0,57.7,131.8,2.87,0.4800000000000001,96.65,1.0,22.94,5.23,0.14900000000000005,0.3570000000000001,0.4930000000000001,78887007,1001450
61,324.3,1.46,-3.74,25.1,4800.0,80.2,142.4,31.85,12.07,56.08,2.0,26.61,5.78,0.09900000000000002,0.30200000000000005,0.5990000000000001,6822378,21040
62,19.3,1.06,0.0,85.13,2700.0,85.7,18.5,4.63,3.5700000000000003,91.8,2.0,35.59,15.06,0.030000000000000006,0.9060000000000002,0.06200000000000001,540109,28051
63,39.5,1.8400000000000003,0.0,74.87,700.0,58.6,7.9,4.95,0.030000000000000006,95.02,1.5,34.33,9.6,0.10200000000000002,0.25400000000000006,0.6430000000000001,4786994,121320
64,29.3,8.39,-3.16,7.87,12300.0,99.8,333.8,16.04,0.45000000000000007,83.51,3.0,10.04,13.25,0.04000000000000001,0.2940000000000001,0.6660000000000001,1324333,45226
65,66.3,0.0,0.0,95.32,700.0,42.7,8.2,10.71,0.7500000000000001,88.54,2.0,37.98,14.86,0.4750000000000001,0.09900000000000002,0.4260000000000001,74777981,1127127
67,49.6,6.18,-3.14,12.620000000000001,5800.0,93.7,112.6,10.95,4.65,84.4,2.0,22.55,5.65,0.08900000000000002,0.13500000000000004,0.7760000000000001,905949,18270
68,15.5,0.37000000000000005,0.9500000000000002,3.5700000000000003,27400.0,100.0,405.3,7.19,0.030000000000000006,92.78,3.0,10.45,9.86,0.028000000000000008,0.2950000000000001,0.6760000000000002,5231372,338145
69,111.3,0.6300000000000001,0.6600000000000001,4.26,27600.0,99.0,586.4,33.53,2.07,64.4,4.0,11.99,9.14,0.022000000000000006,0.21400000000000005,0.7640000000000002,60876136,547030
70,2.2,0.4200000000000001,6.2700000000000005,12.07,8300.0,83.0,255.6,0.14,0.05000000000000001,99.81,2.0,20.46,4.88,0.06600000000000002,0.15600000000000003,0.7780000000000001,199509,91000
71,65.9,60.6,2.9400000000000004,8.44,17500.0,98.0,194.5,0.8200000000000002,5.46,93.72,2.0,16.68,4.69,0.031000000000000007,0.19000000000000003,0.7690000000000001,274578,4167
72,5.3,0.33000000000000007,0.0,53.64,5500.0,63.2,27.4,1.26,0.6600000000000001,98.08,2.0,36.16,12.25,0.06100000000000001,0.5920000000000002,0.3480000000000001,1424906,267667
73,145.3,0.7100000000000002,1.57,72.02,1700.0,40.1,26.8,25.0,0.5,74.5,2.0,39.37,12.25,0.30800000000000005,0.14200000000000004,0.5490000000000002,1641564,11300
75,66.9,0.44000000000000006,-4.7,18.59,2500.0,99.0,146.6,11.44,3.8600000000000003,84.7,3.0,10.41,9.23,0.17200000000000004,0.2750000000000001,0.5530000000000002,4661473,69700
76,230.9,0.6700000000000002,2.18,4.16,27600.0,99.0,667.9,33.85,0.5900000000000001,65.56,3.0,8.25,10.620000000000001,0.009000000000000003,0.2960000000000001,0.6950000000000002,82422299,357021
77,93.6,0.23000000000000004,-0.6400000000000001,51.43,2200.0,74.8,14.4,16.26,9.67,74.07,2.0,30.52,9.72,0.3660000000000001,0.24600000000000005,0.38700000000000007,22409572,239460
79,81.0,10.37,2.35,5.53,20000.0,97.5,589.7,21.1,8.78,70.12,3.0,9.68,10.24,0.05400000000000001,0.21300000000000005,0.7330000000000002,10688058,131940
81,260.8,35.17,-13.92,14.620000000000001,5000.0,98.0,364.5,5.88,29.41,64.71,2.0,22.08,6.88,0.05400000000000001,0.18000000000000005,0.7660000000000002,89703,344
