date,price
1976-1,11.2
1976-2,12
1976-3,12.1
1976-4,12.2
1976-5,12.2
1976-6,12.2
1976-7,12.2
1976-8,12.2
1976-9,13.9
1976-10,13.9
1976-11,13.9
1976-12,13.9
1977-1,13.9
1977-2,13.9
1977-3,13.9
1977-4,13.9
1977-5,13.9
1977-6,13.9
1977-7,13.9
1977-8,14.9
1977-9,14.9
1977-10,14.9
1977-11,14.9
1977-12,14.9
1978-1,14.9
1978-2,14.9
1978-3,14.9
1978-4,14.9
1978-5,14.9
1978-6,14.9
1978-7,14.9
1978-8,14.9
1978-9,14.9
1978-10,14.9
1978-11,14.9
1978-12,14.9
1979-1,14.9
1979-2,15.9
1979-3,15.9
1979-4,15.9
1979-5,18.1
1979-6,19.1
1979-7,21.8
1979-8,26.5
1979-9,28.5
1979-10,29
1979-11,31
1979-12,32.5
1980-1,32.5
1980-2,37
1980-3,38
1980-4,39.5
1980-5,39.5
1980-6,39.5
1980-7,39.5
1980-8,38
1980-9,36
1980-10,36
1980-11,36
1980-12,37
1981-1,38
1981-2,38
1981-3,38
1981-4,38
1981-5,38
1981-6,36
1981-7,36
1981-8,36
1981-9,36
1981-10,35
1981-11,36
1981-12,35
1982-1,33.9
1982-2,31.6
1982-3,28.5
1982-4,33.5
1982-5,35.9
1982-6,35.1
1982-7,34.2
1982-8,34
1982-9,35.6
1982-10,35.7
1982-11,34.2
1982-12,31.7
1983-1,31.2
1983-2,29
1983-3,28.8
1983-4,30.6
1983-5,30
1983-6,31
1983-7,31.7
1983-8,31.9
1983-9,31.1
1983-10,30.4
1983-11,29.8
1983-12,29.2
1984-1,29.7
1984-2,30.1
1984-3,30.8
1984-4,30.6
1984-5,30.5
1984-6,30
1984-7,28.8
1984-8,29.3
1984-9,29.3
1984-10,28.8
1984-11,28.1
1984-12,25.4
1985-1,25.6
1985-2,27.3
1985-3,28.2
1985-4,28.8
1985-5,27.6
1985-6,27.1
1985-7,27.3
1985-8,27.8
1985-9,28.3
1985-10,29.5
1985-11,30.8
1985-12,27.2
1986-1,22.9
1986-2,15.4
1986-3,12.6
1986-4,12.8
1986-5,15.4
1986-6,13.5
1986-7,11.6
1986-8,15.1
1986-9,14.9
1986-10,14.9
1986-11,15.2
1986-12,16.1
1987-1,18.7
1987-2,17.7
1987-3,18.3
1987-4,18.6
1987-5,19.4
1987-6,20
1987-7,21.4
1987-8,20.3
1987-9,19.5
1987-10,19.8
1987-11,18.9
1987-12,17.2
1988-1,17.2
1988-2,16.8
1988-3,16.2
1988-4,17.9
1988-5,17.4
1988-6,16.5
1988-7,15.5
1988-8,15.5
1988-9,14.5
1988-10,13.8
1988-11,14
1988-12,16.3
1989-1,18
1989-2,17.8
1989-3,19.4
1989-4,21
1989-5,20
1989-6,20
1989-7,19.6
1989-8,18.5
1989-9,19.6
1989-10,20.1
1989-11,19.8
1989-12,21.1
1990-1,22.6
1990-2,22.1
1990-3,20.4
1990-4,18.6
1990-5,18.2
1990-6,16.9
1990-7,18.6
1990-8,27.2
1990-9,33.7
1990-10,35.9
1990-11,32.3
1990-12,27.3
1991-1,25
1991-2,20.5
1991-3,19.9
1991-4,20.8
1991-5,21.2
1991-6,20.2
1991-7,21.4
1991-8,21.7
1991-9,21.9
1991-10,23.2
1991-11,22.5
1991-12,19.5
1992-1,18.8
1992-2,19
1992-3,18.9
1992-4,20.2
1992-5,20.9
1992-6,22.4
1992-7,21.8
1992-8,21.4
1992-9,21.9
1992-10,21.7
1992-11,20.3
1992-12,19.4
1993-1,19.1
1993-2,20.1
1993-3,20.3
1993-4,20.3
1993-5,19.9
1993-6,19.1
1993-7,17.9
1993-8,18
1993-9,17.5
1993-10,18.1
1993-11,16.7
1993-12,14.5
1994-1,15
1994-2,14.8
1994-3,14.7
1994-4,16.4
1994-5,17.9
1994-6,19.1
1994-7,19.7
1994-8,18.4
1994-9,17.5
1994-10,17.7
1994-11,18.1
1994-12,17.2
1995-1,18
1995-2,18.5
1995-3,18.6
1995-4,19.9
1995-5,19.7
1995-6,18.4
1995-7,17.3
1995-8,18
1995-9,18.2
1995-10,17.4
1995-11,18
1995-12,19
1996-1,18.9
1996-2,19.1
1996-3,21.4
1996-4,23.6
1996-5,21.3
1996-6,20.5
1996-7,21.3
1996-8,22
1996-9,24
1996-10,24.9
1996-11,23.7
1996-12,25.4
1997-1,25.2
1997-2,22.2
1997-3,21
1997-4,19.7
1997-5,20.8
1997-6,19.2
1997-7,19.6
1997-8,19.9
1997-9,19.8
1997-10,21.3
1997-11,20.2
1997-12,18.3
1998-1,16.7
1998-2,16.1
1998-3,15
1998-4,15.4
1998-5,14.9
1998-6,13.7
1998-7,14.1
1998-8,13.4
1998-9,15
1998-10,14.4
1998-11,12.9
1998-12,11.3
1999-1,12.5
1999-2,12
1999-3,14.7
1999-4,17.3
1999-5,17.8
1999-6,17.9
1999-7,20.1
1999-8,21.3
1999-9,23.9
1999-10,22.6
1999-11,25
1999-12,26.1
2000-1,27.2
2000-2,29.4
2000-3,29.9
2000-4,25.7
2000-5,28.8
2000-6,31.8
2000-7,29.8
2000-8,31.2
2000-9,33.9
2000-10,33.1
2000-11,34.4
2000-12,28.5
2001-1,29.6
2001-2,29.6
2001-3,27.2
2001-4,27.4
2001-5,28.6
2001-6,27.6
2001-7,26.5
2001-8,27.5
2001-9,25.9
2001-10,22.2
2001-11,19.7
2001-12,19.3
2002-1,19.7
2002-2,20.7
2002-3,24.4
2002-4,26.3
2002-5,27
2002-6,25.5
2002-7,26.9
2002-8,28.4
2002-9,29.7
2002-10,28.9
2002-11,26.3
2002-12,29.4
2003-1,32.9
2003-2,35.9
2003-3,33.6
2003-4,28.3
2003-5,28.1
2003-6,30.7
2003-7,30.8
2003-8,31.6
2003-9,28.3
2003-10,30.3
2003-11,31.1
2003-12,32.2
2004-1,34.3
2004-2,34.7
2004-3,36.8
2004-4,36.7
2004-5,40.3
2004-6,38
2004-7,40.7
2004-8,44.9
2004-9,46
2004-10,53.1
2004-11,48.5
2004-12,43.3
2005-1,46.8
2005-2,48
2005-3,54.3
2005-4,53
2005-5,49.8
2005-6,56.3
2005-7,58.7
2005-8,65
2005-9,65.6
2005-10,62.4
2005-11,58.3
2005-12,59.4
2006-1,65.5
2006-2,61.6
2006-3,62.9
2006-4,69.7
2006-5,70.9
2006-6,71
2006-7,74.4
2006-8,73.1
2006-9,63.9
2006-10,58.9
2006-11,59.4
2006-12,62
2007-1,54.6
2007-2,59.3
2007-3,60.6
2007-4,64
2007-5,63.5
2007-6,67.5
2007-7,74.2
2007-8,72.4
2007-9,79.9
2007-10,86.2
2007-11,94.6
2007-12,91.7
2008-1,93
2008-2,95.4
2008-3,105.6
2008-4,112.6
2008-5,125.4
2008-6,133.9
2008-7,133.4
2008-8,116.6
2008-9,103.9
2008-10,76.7
2008-11,57.4
2008-12,41
2009-1,41.74
2009-2,39.16
2009-3,47.98
2009-4,49.79
2009-5,59.16
2009-6,69.68
2009-7,64.09
2009-8,71.06
2009-9,69.46
2009-10,75.82
2009-11,78.08
2009-12,74.3
2010-1,78.22
2010-2,76.42
2010-3,81.24
2010-4,84.48
2010-5,73.84
2010-6,75.35
2010-7,76.37
2010-8,76.82
2010-9,75.31
2010-10,81.9
2010-11,84.14
2010-12,89.04
2011-1,89.42
2011-2,89.58
2011-3,102.94
2011-4,110.04
2011-5,101.33
2011-6,96.29
2011-7,97.19
2011-8,86.33
2011-9,85.61
2011-10,86.41
2011-11,97.21
2011-12,98.57
2012-1,100.24
2012-2,102.25
2012-3,106.19
2012-4,103.33
2012-5,94.7
2012-6,82.41
2012-7,87.93
2012-8,94.16
2012-9,94.72
2012-10,89.57
2012-11,86.66
2012-12,88.25
2013-1,94.69
2013-2,95.32
2013-3,93.05
2013-4,92.07
2013-5,94.8
2013-6,95.8
2013-7,104.67
2013-8,106.57
2013-09,106.29
2013-10,100.54
2013-11,93.86
2013-12,97.63
2014- 1,94.62
2014- 2,100.82
2014- 3,100.8
2014- 4,102.07
2014- 5,102.18
2014- 6,105.79
2014- 7,103.59
2014- 8,96.54
2014- 9,93.21
2014- 10,84.4
2014- 11,75.79
2014- 12,59.29
2015- 1,47.22
2015- 2,50.58
2015- 3,47.82
2015-4,54.5
2015-5,59.27
2015-6,59.82
2015-7,50.9
2015-8,42.9
2015-9,45.48
2015-10,46.22
2015-11,42.44
2015-12,37.21
2016-1,31.68
2016-2,30.32
2016-3,37.55
2016-4,40.75
2016-5,46.71
2016-6,48.76
2016-7,44.65
2016-8,44.72
2016-9,45.18
2016-10,49.78
2016-11,45.66
2017-12,51.97
2017-1,52.5
2017-2,53.47
2017-3,49.33
2017-4,51.06
2017-5,48.48
2017-6,45.18
2017-7,46.63
2017-8,48.04
2017-9,49.82
2017-10,51.58
2017-11,56.64
2018-12,57.88
